adjusted points,att bps,cost,def bps,event id,ga,gd,gf,home,mins,opponent,pas bps,player id,player name,points,position id,round,season,team id
5.0,0.0,,2.0,2.0,,,,0.0,90.0,CLB,1.0,14.0,Dax McCarty,5.0,3.0,1.0,2017.0,
9.0,0.0,,2.0,2.0,,,,0.0,90.0,CLB,0.0,17.0,David Accam,9.0,4.0,1.0,2017.0,
3.0,1.0,,0.0,2.0,,,,0.0,90.0,CLB,0.0,20.0,Michael de Leeuw,3.0,4.0,1.0,2017.0,
3.0,1.0,,0.0,2.0,,,,0.0,90.0,CLB,0.0,21.0,Nemanja Nikolic,3.0,4.0,1.0,2017.0,
10.0,0.0,,3.0,1.0,,,,1.0,90.0,NE,0.0,27.0,Zac MacMath,10.0,1.0,1.0,2017.0,
7.0,0.0,,0.0,1.0,,,,1.0,90.0,NE,0.0,28.0,Marc Burch,7.0,2.0,1.0,2017.0,
8.0,0.0,,1.0,1.0,,,,1.0,90.0,NE,0.0,32.0,Eric Miller,8.0,2.0,1.0,2017.0,
12.0,0.0,,4.0,1.0,,,,1.0,90.0,NE,1.0,33.0,Axel Sjoberg,12.0,2.0,1.0,2017.0,
13.0,1.0,,1.0,1.0,,,,1.0,90.0,NE,1.0,34.0,Jared Watts,13.0,2.0,1.0,2017.0,
5.0,0.0,,1.0,1.0,,,,1.0,90.0,NE,1.0,36.0,Michael Azira,5.0,3.0,1.0,2017.0,
4.0,0.0,,1.0,1.0,,,,1.0,90.0,NE,1.0,37.0,Sam Cronin,4.0,3.0,1.0,2017.0,
3.0,0.0,,0.0,1.0,,,,1.0,63.0,NE,0.0,38.0,Marlon Hairston,3.0,3.0,1.0,2017.0,
5.0,2.0,,1.0,1.0,,,,1.0,78.0,NE,0.0,40.0,Dillon Powers,5.0,3.0,1.0,2017.0,
7.0,0.0,,0.0,1.0,,,,1.0,83.0,NE,0.0,43.0,Dominique Badji,7.0,4.0,1.0,2017.0,
