2018_player_id,2018_player_name,2018_position_id,2018_team_id,2017_player_id,2017_position_id
41551,Jeff Larentowicz,3,11091,510,3
41552,Michael Parkhurst,2,11091,499,2
41556,Brad Knighton,1,928,199,1
41574,Jozy Altidore,4,2077,460,4
41599,Jordan Harvey,2,11690,473,2
41605,Jacob Peterson,4,11091,512,3
41625,Arturo Alvarez,3,1897,9,3
41626,Dax McCarty,3,1207,14,3
41627,Drew Moor,2,2077,449,2
41633,Dominic Oduro,4,1616,173,4
41647,Chris Wondolowski,4,1131,391,4
41667,Alan Gordon,4,1207,46,4
41679,Chris Seitz,1,1897,103,1
41703,Sacha Kljestan,3,6900,257,3
41705,Brad Guzan,1,11091,625,1
41921,Shkelzen Gashi,3,436,45,4
42453,Johnny Russell,3,421,,
42512,Krisztian Nemeth,3,928,660,4
42584,Laurent Ciman,2,11690,155,2
43684,Sunday Stephen,3,1899,363,3
44871,Rolf Feltscher,2,1230,,
45099,Tommy Smith,2,436,,
45120,Ilson Pereira,3,5513,,
45122,Sal Zizzo,2,11091,251,2
45269,Claude Dielna,2,928,642,2
45959,Aurelien Collin,2,399,248,2
47627,Demar Phillips,2,1899,352,2
