player,points,position id,price,last 4 avg,last 4,last 2 avg,(price / 1.5) * 5,need
Mohamed El-Munir,62,2,4.7,2.25,9.0,3.0,15.666666666666666,6.666666666666666
Raymon Gaddis,85,2,5.5,2.0,8.0,2.5,18.333333333333332,10.333333333333332
Daniel Steres,43,2,4.0,0.75,3.0,1.0,13.333333333333334,10.333333333333334
Kevin Garcia,25,2,4.5,4.25,17.0,6.5,15.0,-2.0
Josef Martinez,193,4,12.0,13.5,54.0,14.5,40.0,-14.0
Steve Clark,12,1,5.0,5.0,20.0,3.5,16.666666666666668,-3.333333333333332
Adama Diomande,68,4,10.0,3.0,12.0,4.5,33.333333333333336,21.333333333333336
Jose Villarreal,3,3,4.5,2.0,8.0,2.0,15.0,7.0
Jay Chapman,44,3,5.0,1.75,7.0,1.0,16.666666666666668,9.666666666666668
Jordan Hamilton,31,4,5.0,5.0,20.0,4.5,16.666666666666668,-3.333333333333332
Patrick McLain,10,1,4.0,2.0,8.0,1.0,13.333333333333334,5.333333333333334
Jack Price,89,3,7.4,4.75,19.0,5.5,24.666666666666668,5.666666666666668
Gabriel Somi,58,2,5.0,1.25,5.0,1.0,16.666666666666668,11.666666666666668
Marky Delgado,68,3,6.0,2.25,9.0,2.0,20.0,11.0
Bismark Adjei-Boateng,26,3,5.0,3.25,13.0,4.0,16.666666666666668,3.666666666666668
Patrick Mullins,21,4,5.5,3.75,15.0,6.5,18.333333333333332,3.333333333333332
Jorge Corrales,41,2,4.5,1.25,5.0,1.0,15.0,10.0
Darwin Ceren,65,3,5.4,2.75,11.0,3.0,18.0,7.0
Shane O'Neill,5,2,4.5,1.3333333333333333,5.333333333333333,0.5,15.0,9.666666666666668
Marquinhos Pedroso,2,2,5.7,1.5,6.0,1.5,19.0,13.0
Clint Irwin,9,1,4.5,2.75,11.0,2.0,15.0,4.0
Romell Quioto,123,4,9.0,4.75,19.0,5.0,30.0,11.0
Omar Gaber,35,2,4.0,1.0,4.0,1.0,13.333333333333334,9.333333333333334
Alejandro Silva,96,3,7.4,5.5,22.0,5.0,24.666666666666668,2.666666666666668
Kim Kee-Hee,75,2,6.9,6.0,24.0,2.5,23.0,-1.0
Frederic Brillant,49,2,5.5,3.25,13.0,2.5,18.333333333333332,5.333333333333332
Waylon Francis,24,2,4.4,3.0,12.0,1.5,14.666666666666666,2.666666666666666
Hector Villalba,83,4,9.0,7.75,31.0,9.0,30.0,-1.0
Anton Nedyalkov,42,2,8.0,2.25,9.0,2.0,26.666666666666668,17.666666666666668
David Accam,41,3,7.5,3.0,12.0,1.5,25.0,13.0
Eric Bird,5,3,5.0,2.0,8.0,2.0,16.666666666666668,8.666666666666668
Keegan Rosenberry,92,2,6.1,2.5,10.0,3.0,20.333333333333332,10.333333333333332
Steve Birnbaum,47,2,5.6,3.25,13.0,2.5,18.666666666666668,5.666666666666668
Christian Dean,4,2,4.5,2.0,8.0,2.0,15.0,7.0
Stefano Bonomo,2,3,4.8,2.0,8.0,2.0,16.0,8.0
Earl Edwards Jr.,11,1,4.5,2.25,9.0,2.5,15.0,6.0
Ryan Hollingshead,84,2,5.5,1.75,7.0,1.0,18.333333333333332,11.333333333333332
Sebastien Ibeagha,93,2,5.5,3.5,14.0,2.0,18.333333333333332,4.333333333333332
Sean Davis,109,3,7.5,2.75,11.0,0.5,25.0,14.0
Jared Watts,18,2,5.0,4.25,17.0,1.0,16.666666666666668,-0.33333333333333215
Jalen Robinson,4,2,4.5,2.0,8.0,2.0,15.0,7.0
Chris Duvall,61,2,5.0,7.0,28.0,6.0,16.666666666666668,-11.333333333333332
Collin Martin,17,3,5.0,1.5,6.0,1.5,16.666666666666668,10.666666666666668
Fabio Alves,24,2,4.5,1.25,5.0,1.5,15.0,10.0
Nick Hagglund,57,2,5.0,3.5,14.0,1.0,16.666666666666668,2.666666666666668
Sam Nicholson,80,3,6.7,3.75,15.0,5.0,22.333333333333332,7.333333333333332
Jonathan Campbell,45,2,5.2,3.0,12.0,2.5,17.333333333333332,5.333333333333332
Kharlton Belmar,3,4,4.5,1.25,5.0,1.5,15.0,10.0
Mikey Ambrose,47,2,4.5,7.0,28.0,7.0,15.0,-13.0
Carlos Gruezo,61,3,6.0,5.5,22.0,3.0,20.0,-2.0
Wil Trapp,103,3,8.0,5.5,22.0,2.5,26.666666666666668,4.666666666666668
Junior Moreno,40,3,5.4,4.25,17.0,5.0,18.0,1.0
Gyasi Zardes,114,4,8.5,4.5,18.0,2.0,28.333333333333332,10.333333333333332
Kellyn Acosta,53,3,8.0,6.5,26.0,9.0,26.666666666666668,0.6666666666666679
Juan David Cabezas,3,3,7.0,2.0,8.0,2.0,23.333333333333332,15.333333333333332
Cristian Higuita,79,3,7.7,3.75,15.0,6.0,25.666666666666668,10.666666666666668
Dairon Asprilla,21,3,5.8,2.75,11.0,4.0,19.333333333333332,8.333333333333332
Angelo Rodriguez,2,4,8.3,2.0,8.0,2.0,27.666666666666668,19.666666666666668
Aly Ghazal,31,3,5.2,2.5,10.0,3.5,17.333333333333332,7.333333333333332
Walker Zimmerman,102,2,6.8,5.0,20.0,4.0,22.666666666666668,2.666666666666668
Kofi Opare,9,2,4.8,2.0,8.0,2.5,16.0,8.0
Brad Stuver,4,1,4.8,4.0,16.0,4.0,16.0,0.0
Andrew Farrell,102,2,6.2,4.75,19.0,2.0,20.666666666666668,1.6666666666666679
Eriq Zavaleta,49,2,6.0,5.25,21.0,6.5,20.0,-1.0
Erik Hurtado,13,4,5.3,3.75,15.0,3.5,17.666666666666668,2.666666666666668
Dillon Serna,18,3,5.0,2.75,11.0,4.0,16.666666666666668,5.666666666666668
Scott Caldwell,44,3,5.6,2.5,10.0,3.0,18.666666666666668,8.666666666666668
Luis Solignac,18,3,5.5,1.5,6.0,1.5,18.333333333333332,12.333333333333332
Adam Jahn,2,4,5.0,1.0,4.0,1.0,16.666666666666668,12.666666666666668
Stefano Pinho,20,4,5.5,2.5,10.0,1.0,18.333333333333332,8.333333333333332
Cristian Techera,63,3,8.0,1.75,7.0,2.0,26.666666666666668,19.666666666666668
Matteo Mancosu,36,4,6.5,5.25,21.0,4.5,21.666666666666668,0.6666666666666679
Cristian Penilla,122,4,8.7,3.75,15.0,7.0,29.0,14.0
