cost,event_id,home,opponent,player_id,player_name,position_id,round,season,team,dgw,alt_player_id,unique_round,dataset
5.4,1040185,1,CIN,426592.0,Edwin Cerrillo,3.0,26,2019,DAL,0,426592,94.0,live
5.0,1040185,1,CIN,197011.0,Cristian Colman,4.0,26,2019,DAL,0,197011,94.0,live
6.5,1040185,1,CIN,224372.0,Jesus Ferreira,4.0,26,2019,DAL,0,224372,94.0,live
6.6,1040185,1,CIN,157489.0,Jesse Gonzalez,1.0,26,2019,DAL,0,157489,94.0,live
6.5,1040185,1,CIN,147744.0,Carlos Gruezo,3.0,26,2019,DAL,0,147744,94.0,live
5.8,1040185,1,CIN,87337.0,Edwin Gyasi,3.0,26,2019,DAL,0,87337,94.0,live
4.0,1040185,1,CIN,226309.0,Jacori Hayes,3.0,26,2019,DAL,0,226309,94.0,live
8.1,1040185,1,CIN,110592.0,Matt Hedges,2.0,26,2019,DAL,0,110592,94.0,live
4.5,1040185,1,CIN,95279.0,Moises Hernandez,2.0,26,2019,DAL,0,95279,94.0,live
9.7,1040185,1,CIN,130056.0,Ryan Hollingshead,2.0,26,2019,DAL,0,130056,94.0,live
4.5,1040185,1,CIN,474180.0,Callum Montgomery,2.0,26,2019,DAL,0,474180,94.0,live
6.5,1040193,0,SJ,149674.0,Cristian Higuita,3.0,26,2019,ORL,0,149674,94.0,live
4.5,1040190,0,NY,234251.0,Kortne Ford,2.0,26,2019,COL,0,234251,94.0,live
4.0,1040190,0,NY,424488.0,Cole Bassett,3.0,26,2019,COL,0,424488,94.0,live
4.4,1040191,1,ATL,201405.0,Matthew Real,2.0,26,2019,PHI,0,201405,94.0,live
5.7,1040191,1,ATL,201125.0,Sergio Santos,4.0,26,2019,PHI,0,201125,94.0,live
6.2,1040191,1,ATL,201410.0,Auston Trusty,2.0,26,2019,PHI,0,201410,94.0,live
7.3,1040191,1,ATL,428338.0,Kai Wagner,2.0,26,2019,PHI,0,428338,94.0,live
6.8,1040191,1,ATL,112973.0,Andrew Wooten,4.0,26,2019,PHI,0,112973,94.0,live
5.5,1040190,1,COL,203478.0,Anatole Abang,4.0,26,2019,NY,0,203478,94.0,live
